PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Harju peetud;Harju;H;peetud;A;O;1;7;7;45442;0.0010782976101403987;30.420204361569482
Vene endine;Vene;H;endine;A;O;3;28;16;45442;0.00985872100699793;30.11489963704974
Pihkva imelik;Pihkva;H;imelik;A;O;1;2;25;45442;0.0011003036838167334;30.11380248828905
Saksamaa ainus;Saksamaa;H;ainus;A;O;1;2;25;45442;0.0011003036838167334;30.11380248828905
Võnnu päälik;Võnnu;H;päälik;A;O;1;3;17;45442;0.001122309757493068;29.81645066323111
Eesti rikas;Eesti;H;rikas;A;O;2;21;10;45442;0.0046212754720302805;29.3524534926363
Viru verine;Viru;H;verine;A;O;1;9;6;45442;0.001188327978522072;28.974466463534696
Viru elav;Viru;H;elav;A;O;1;9;6;45442;0.001188327978522072;28.974466463534696
Jägala tuntud;Jägala;H;tuntud;A;O;1;8;7;45442;0.0012323401258747414;28.45110750136823
Vene piiratud;Vene;H;piiratud;A;O;1;28;2;45442;0.0012323401258747414;28.45110750136823
Vene teatud;Vene;H;teatud;A;O;1;28;2;45442;0.0012323401258747414;28.45110750136823
Kuimetsa vallatu;Kuimetsa;H;vallatu;A;O;1;29;2;45442;0.0012763522732274107;27.955035950128252
Kuimetsa kogu;Kuimetsa;H;kogu;A;O;1;29;2;45442;0.0012763522732274107;27.955035950128252
Kuimetsa laialine;Kuimetsa;H;laialine;A;O;1;29;2;45442;0.0012763522732274107;27.955035950128252
Kuimetsa aurav;Kuimetsa;H;aurav;A;O;1;29;2;45442;0.0012763522732274107;27.955035950128252
Kuimetsa vagane;Kuimetsa;H;vagane;A;O;1;29;2;45442;0.0012763522732274107;27.955035950128252
Liivi seisev;Liivi;H;seisev;A;O;1;15;4;45442;0.0013203644205800802;27.48395872197248
Läti hirmus;Läti;H;hirmus;A;O;1;2;30;45442;0.0013203644205800802;27.48395872197248
Liivi endine;Liivi;H;endine;A;O;2;15;16;45442;0.005281457682320321;27.447621902896227
Eesti lastud;Eesti;H;lastud;A;O;1;21;3;45442;0.001386382641609084;26.819824266468057
Saksa tapetud;Saksa;H;tapetud;A;O;1;21;3;45442;0.001386382641609084;26.819824266468057
Saksa tark;Saksa;H;tark;A;O;2;21;12;45442;0.005545530566436336;26.782590106861466
Pirita tõusev;Pirita;H;tõusev;A;O;1;16;4;45442;0.0014083887152854188;26.60888307292727
Toompea ainuke;Toompea;H;ainuke;A;O;1;5;13;45442;0.0014303947889617535;26.40282414255114
vene väsinud;vene;G;väsinud;A;O;1;6;11;45442;0.001452400862638088;26.20146186601072
Harju rikas;Harju;H;rikas;A;O;1;7;10;45442;0.0015404251573434267;25.43959451321082
Harju tume;Harju;H;tume;A;O;1;7;10;45442;0.0015404251573434267;25.43959451321082
Tallinn seitsmenädalane;Tallinn;H;seitsmenädalane;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
Rootsi kihutanud;Rootsi;H;kihutanud;A;O;1;18;4;45442;0.0015844373046960962;25.08267277078329
Tallinn ajaloolik;Tallinn;H;ajaloolik;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
Tallinn avaldav;Tallinn;H;avaldav;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
Rootsi määratu;Rootsi;H;määratu;A;O;1;18;4;45442;0.0015844373046960962;25.08267277078329
Tallinn käepärane;Tallinn;H;käepärane;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
Lasna uus;Lasna;H;uus;A;O;1;8;9;45442;0.0015844373046960962;25.08267277078329
Viru tunginud;Viru;H;tunginud;A;O;1;9;8;45442;0.0015844373046960962;25.08267277078329
Rootsi vapper;Rootsi;H;vapper;A;O;1;18;4;45442;0.0015844373046960962;25.08267277078329
Tallinn tõenäitlik;Tallinn;H;tõenäitlik;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
Tallinn surelik;Tallinn;H;surelik;A;O;1;72;1;45442;0.0015844373046960962;25.08267277078329
